部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A14,ARC,3C750,180.454618,169.279509,180.198694,168.061991,190.684773,166.493459,10.602743,164.765694,6.726945
A14,ARC,3C74F,180.198694,168.061991,180.077938,167.17798,204.763119,164.256247,24.857487,171.193235,2.056652
A14,ARC,3C74E,179.862036,165.312379,180.077938,167.17798,-120.224691,200.986046,302.199693,353.220616,0.356071
A14,ARC,3C74D,179.725087,164.364574,179.862036,165.312379,155.234445,168.387042,24.81878,350.672725,2.210929
A14,ARC,3C74C,179.592543,163.661014,179.725087,164.364574,164.387929,166.889684,15.543636,348.011432,2.639263
A14,ARC,3C74B,179.212533,162.303531,179.592543,163.661014,169.507917,165.752143,10.299151,340.436927,7.848345
A14,ARC,3C74A,178.736897,161.256725,179.212533,162.303531,172.784708,164.592676,6.823278,330.73121,9.666423
A14,ARC,3C749,177.379421,159.676756,178.736897,161.256725,174.246685,163.741479,5.131862,307.621919,23.419208
A14,ARC,3C748,175.749958,158.821833,177.379421,159.676756,173.952684,164.227714,5.696819,288.39023,18.588435
A14,ARC,3C747,174.545575,158.518924,175.749958,158.821833,173.228883,166.299968,7.891662,279.604488,9.025815
A14,ARC,3C746,173.495866,158.393267,174.545575,158.518924,172.754258,169.035822,10.668363,273.986113,5.68017
A14,ARC,3C745,172.310854,158.362549,173.495866,158.393267,172.541649,172.331886,13.971243,269.053472,4.8628
A14,ARC,3C744,172.164322,158.492042,172.310854,158.362549,172.312164,158.511685,0.149142,187.568243,81.928577
A14,LINE,3C743,172.164322,158.492042,172.164322,158.492042,,,,,
A14,ARC,3C742,172.163573,158.498931,172.164322,158.492042,172.275907,158.507647,0.112671,184.436409,3.524584
A14,ARC,3C741,172.165458,158.52726,172.163573,158.498931,172.25873,158.506827,0.095483,167.643472,17.099974
A14,ARC,3C740,172.177619,158.557134,172.165458,158.52726,172.263394,158.504806,0.100477,148.614241,18.472303
A14,ARC,3C73F,172.195721,158.581308,172.177619,158.557134,172.313011,158.474612,0.158559,137.707937,10.92961
A14,ARC,3C73E,172.208833,158.595086,172.195721,158.581308,172.430822,158.370711,0.315632,134.693776,3.453089
A14,ARC,3C73D,172.223038,158.608709,172.208833,158.595086,172.702259,158.094801,0.702677,132.999655,1.604894
A14,ARC,3C73C,172.223038,158.608709,172.242839,158.627184,168.786525,162.311952,5.052091,312.860511,0.307133
